Latitude,Longitude,Depth,rhos_443,rhos_483,rhos_561,rhos_655,rhos_865
15.88588,73.45895,XX,0.03992,0.04162,0.03902,0.02346,0.01495
16.0029,73.48132,XX,0.03902,0.04011,0.03863,0.02552,0.01816
15.94381,73.48344,XX,0.03938,0.04153,0.03974,0.02371,0.01374
15.95974,73.43624,XX,0.04203,0.04359,0.04164,0.02474,0.01418
15.95577,73.48728,XX,0.04315,0.04595,0.04531,0.02589,0.01459
16.02558,73.46769,XX,0.04146,0.0435,0.04382,0.02834,0.01903
16.00419,73.43366,XX,0.04523,0.04558,0.04281,0.02748,0.01785
15.8868,73.43541,XX,0.03729,0.03663,0.03219,0.02173,0.01356
15.97713,73.47983,XX,0.03989,0.04153,0.03929,0.02452,0.01549
16.00247,73.4589,XX,0.04529,0.04712,0.05064,0.02929,0.01628
16.01509,73.44142,XX,0.04331,0.04422,0.04376,0.02731,0.01623
15.97131,73.46222,XX,0.03681,0.03793,0.03857,0.02382,0.01482
16.02997,73.43738,XX,0.04507,0.04706,0.04546,0.02887,0.01834
16.02873,73.45393,XX,0.04222,0.04383,0.04561,0.02873,0.01744
16.01905,73.42793,XX,0.04465,0.04709,0.04307,0.02734,0.01731
16.02797,73.46095,XX,0.04232,0.04362,0.04555,0.02915,0.01875
15.89146,73.48103,XX,0.0372,0.03732,0.03096,0.02087,0.01349
16.007,73.48661,XX,0.03995,0.0425,0.04358,0.02589,0.01882
15.97797,73.48291,XX,0.04082,0.04238,0.04078,0.02541,0.01605
15.90787,73.46243,XX,0.04024,0.04126,0.0381,0.02324,0.01351
16.02218,73.44809,XX,0.04388,0.04471,0.04528,0.02898,0.01792
16.02968,73.43542,XX,0.04555,0.04758,0.04626,0.02901,0.0181
16.00691,73.47344,XX,0.03995,0.04147,0.04167,0.027,0.01726
16.03459,73.43874,XX,0.04299,0.0451,0.04432,0.02848,0.01841
15.96225,73.48359,XX,0.03851,0.04041,0.03768,0.02354,0.0151
16.02847,73.45533,XX,0.04232,0.04404,0.04629,0.02881,0.01792
15.94788,73.4837,XX,0.04008,0.04123,0.04149,0.02488,0.01505
16.02649,73.44414,XX,0.04181,0.04434,0.04418,0.02845,0.01828
15.94804,73.46856,XX,0.03893,0.03987,0.03553,0.02246,0.01315
16.00436,73.45748,XX,0.0442,0.04637,0.04897,0.02923,0.01633
16.01538,73.44478,XX,0.04293,0.04507,0.04456,0.02803,0.01654
16.00602,73.46252,XX,0.04363,0.04685,0.04957,0.02982,0.01723
16.00428,73.44683,XX,0.0428,0.04501,0.04623,0.02837,0.01659
15.8977,73.48127,XX,0.03803,0.03729,0.03111,0.02078,0.01346
16.02922,73.44552,XX,0.04312,0.04398,0.04382,0.02918,0.01821
15.98086,73.47055,XX,0.0413,0.0435,0.03926,0.02563,0.017
16.01995,73.47671,XX,0.04011,0.0418,0.04257,0.02831,0.019
16.00151,73.43872,XX,0.04357,0.0444,0.04337,0.02761,0.01723
16.02046,73.47193,XX,0.04181,0.04289,0.04421,0.02901,0.01867
16.01043,73.47201,XX,0.04021,0.04102,0.04042,0.02614,0.01741
15.89886,73.4538,XX,0.03877,0.03917,0.03517,0.0222,0.01295
16.00679,73.45635,XX,0.04392,0.0458,0.04802,0.02906,0.01644
15.9622,73.47658,XX,0.03858,0.03902,0.03613,0.02299,0.01428
15.94399,73.43356,XX,0.04238,0.04332,0.04024,0.02446,0.01497
15.89787,73.46614,XX,0.04098,0.04274,0.03765,0.02254,0.01341
